No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
80,"0,95","0,95","0,82","0,44","0,09","1,29","17,77","0,1","0,05","4,959852811","352,7021822","0,08","355,2754543","3,377337638",2
81,"0,32","0,32","0,03",0,"0,1","0,1","12,08","0,07","0,04","6,920342899","311,4526625","1,76","382,4730046","2,460464867",2
82,0,0,"0,004453387234","0,03335984813","0,0004352216565","0,69","14,16","0,004801649453","0,1389069943","7,389605512","24,79580063","0,91","61,51585663","0,6340839797",1
83,0,0,"0,02","0,18","0,004","1,27","1,6","0,01","2,84","8,41860665","287,9481232","0,69","429,6222122","4,179656267",2
84,"0,7","0,7","0,01","0,46","0,001","1,53","1,45","0,09","3,46","7,039094321","390,1042229","1,83","479,7919747","3,643379015",2
85,"0,04","0,04","0,00766181014","0,04654180191","0,0001214221578","0,56","2,27","0,005827871095","0,08150105246","8,025332293","33,28390184","1,56","163,9514717","1,443197363",1
86,0,0,"0,01","0,05","0,08","0,75","14,43","0,07","0,04","6,47237105","421,39399","1,74","365,4392023","5,544167317",2
87,0,0,"0,001","0,56","0,009","1,04","13,5","0,02","1,08","7,440825031","358,9786197","1,89","324,5098409","3,024556641",2
88,"0,63","0,63","0,02","0,06","0,02","1,72","2,11","0,02","0,22","8,040144167","290,3373982","1,72","317,9484586","4,762871709",2
89,0,0,"0,06","0,01","0,09","0,6","4,91","0,03","0,05","8,693104326","247,200826","0,09","531,5214444","3,572519002",2
90,"0,07","0,07","0,04","0,04","0,03","1,16","3,65","0,03","0,05","8,058135997","233,792588","1,04","348,2645907","3,776040837",2
91,"0,04","0,04","0,008729304192","0,04297310268","0,002743280196","1,54","1,19","0,007798937056","0,08052483705","6,713050057","20,50010077","0,01","282,4232762","3,300518097",1
92,0,0,"0,007922530491","0,02035915056","0,001517789927","2,05","2,46","0,007071486218","0,1918972316","7,057588553","1,632968855","1,22","153,2380172","2,754515819",1
93,"0,09","0,09","0,08","0,04","0,09","0,08","16,1","0,04","0,1","7,337924402","359,6658352","0,03","323,4992313","5,168297808",2
94,0,0,"0,03","0,1","0,09","0,34","6,24","0,01","0,1","6,922041828","346,7680519","0,01","397,5364707","3,392666423",2
95,"0,69","0,69","0,03","0,03","0,05","1,41","8,26","0,09","0,04","8,736371211","373,6533277","0,13","409,4909989","3,427066374",2
96,"0,09","0,09","0,07","0,06","0,01","0,25","10,2",0,"0,08","4,713116701","354,8211938","0,08","563,4347751","2,878515631",2
97,0,0,"0,00468148337","0,04443566588","0,002555680592","1,41","6,73","0,005748079943","0,04279901333","8,281209914","38,06399417","1,66","265,5734799","3,589840346",1
98,0,0,"0,002361570503","0,01080149762","0,0005068897222","1,76","5,46","0,003454415604","0,06606883587","7,095505781","23,98000141","1,43","142,1880156","2,575265777",1
99,"0,74","0,74","0,03","0,68","0,004","1,17","12,57","0,06","4,18","5,33418358","382,9587368","0,34","387,0858873","3,594217364",2
100,"0,77","0,77","0,02","0,04","0,04","1,19","2,1","0,05","0,02","4,912557262","381,5132119","1,21","410,8561139","5,504749397",2
101,"0,51","0,51","0,02","0,83","0,002","1,2","10,9","0,04","0,07","3,961389047","336,0624457","0,3","463,2969139","3,806596292",2
102,0,0,"0,00406583715","0,01608584104","0,002087767183","1,16","0,37","0,005860588936","0,08003002159","8,013060227","36,59565032","0,9","64,74590573","4,868712729",1
103,0,0,"0,005740922758","0,04212139897","0,002490593096","1,07","15,01","0,005384740603","0,1073120287","8,225760303","10,31914628","1,54","144,489504","0,1852307105",1
104,0,0,"0,02","0,09","0,08","0,75","13,29","0,02","0,03","5,757088957","352,8356398","0,13","432,4318223","4,322325337",2
105,0,0,"0,07","0,01","0,06","1,83","13,1","0,05","0,03","8,69712216","292,5158245","0,04","390,4268891","4,810537179",2
106,"0,96","0,96","0,14","0,2","0,02","1,79","12,09","0,03","0,12","6,761413709","260,2612056","1,06","517,4900494","3,778302162",2
107,"0,07","0,07","0,1","0,01","0,05","1,17","10,3","0,02","0,05","9,960689858","327,717408","1,4","297,1126211","4,756446279",2
108,"0,32","0,32","0,04","0,86","0,007","1,54","12,77","0,01","0,03","6,914868152","299,3455763","1,94","418,4535907","4,007508148",2
109,"0,55","0,55","0,06","0,05","0,05","1,59","18,25","0,04","0,1","7,016836113","393,8409175","1,93","432,642307","5,23998187",2
110,0,0,"0,1","0,01","0,03","0,6","11,5","0,07","0,05","11,53488049","325,4784227","0,03","380,1452048","4,822883764",2
111,0,0,"0,008058023759","0,04295218951","0,0004799007565","0,72","7,77","0,00115851211","0,1686354233","8,453693313","21,79239545","0,01","153,8770836","0,4693900002",1
112,0,0,"0,95","0,03","0,07","2,07","3,35","0,1","3,84","10,30157127","295,8952066","0,11","326,6271313","5,55466674",2
113,0,0,"0,00305597968","0,04381805276","0,001476070845","1,64","16,22","0,001106479618","0,1812511021","8,496029861","29,46132106","0,24","164,8890019","2,608251055",1
114,0,0,"0,001468787732","0,03953386491","0,002679858764","0,19","5,05","0,004518974685","0,156546986","6,525055439","4,923490544","0,98","72,14551915","0,2889009401",1
115,"0,66","0,66",1,"0,34","0,1","1,94","16,08","0,08","4,38","7,851925692","288,3568559","0,71","562,7714671","4,086920567",2
116,0,0,"0,008744042483","0,04238735696","0,002599558382","0,35","13,46","0,004157839904","0,0289259669","7,875625792","23,11005999","0,88","68,8374162","3,617357603",1
117,0,0,"0,006872699728","0,03377737835","0,0007121729396","0,63","17,62","0,008835640474","0,1850982489","7,267291897","19,46957284","0,02","224,9727969","1,036917968",1
118,0,0,"0,01","0,02","0,03","0,25","8,26","0,09","0,05","6,871607245","369,3100078","0,05","456,3154604","3,5681966",2
119,"0,35","0,35","0,05","0,05","0,001","1,77","10,63","0,08","0,83","6,262798867","380,2014982","0,87","306,1155393","2,081845657",2
120,"0,48","0,48","0,5","0,2","0,04","1,76","2,18","0,03","3,93","10,03393346","365,4536552","1,13","354,4052785","2,220639923",2
121,"0,78","0,78","0,84","0,29","0,02","1,87","7,98","0,07","0,07","6,823930137","357,9097952","0,01","466,5925435","5,370004183",2
122,"0,8","0,8","0,03","0,66","0,001","1,72","10,2","0,1","2,92","5,36754649","312,0560665","1,5","418,6787647","3,051607724",2
123,"0,77","0,77","0,77","0,01","0,03","1,18","9,59","0,04","0,03","8,975464348","340,3263144",0,"407,7417133","4,328026357",2
124,0,0,"0,005755765583","0,04621397368","0,00109563873","1,39","8,32","0,003294295518","0,1785120595","7,285526486","4,76826245","1,56","87,55681257","1,128320733",1
125,"0,49","0,49","0,24","0,41","0,04","1,75","4,21","0,06","0,03","7,360640106","413,5603781","0,79","474,0574902","6,099631873",2
126,"0,74","0,74","0,03","0,19","0,002","1,01","1,51","0,01","0,5","8,26994471","300,150377","0,68","299,8869966","3,787033415",2
127,"0,74","0,74","0,01","0,05","0,08","1,07","11,66","0,1","0,01","6,836224939","337,5012466","1,33","553,6167335","5,249069811",2
128,"1,1","1,1",,,,,,,,"7,76",,,198,"0,83",2
129,"0,58","0,58","0,07","0,06","0,08","1,04","2,58","0,05","0,04","3,841205038","378,4305007","0,71","310,9278353","3,466645288",2
130,0,0,"0,009309018402","0,03832444885","0,001760849812","1,43","10,69","0,003076318152","0,08731055621","6,785273655","7,849252035","0,13","166,111956","4,359040678",1
131,"0,71","0,71","0,11","0,08","0,03","1,05","18,41","0,05","0,03","5,214009194","305,2489447","0,35","376,7103037","4,494459702",2
132,"0,14","0,14","0,06","0,08","0,01","0,72","1,84","0,06","0,06","5,01804587","274,2068037","0,51","469,9145515","3,570290456",2
133,"0,51","0,51","0,09","0,06","0,03","1,17","10,31","0,02","0,08","9,186453377","400,1641609","0,77","465,4998707","4,44817057",2
134,"0,37","0,37","0,03","0,13","0,008","1,11","8,84","0,09","0,06","9,062822325","449,2676875","1,22","412,7065583","3,776225631",2
135,0,0,"0,16","0,24","0,11","2,03","8,28","0,1","3,29","6,967270764","408,4178656","1,52","411,4244826","5,930227577",2
136,"0,19","0,19","0,33","0,53","0,04","1,81","3,79","0,1","0,08","6,9204487","341,1742694","0,09","297,6313652","3,447111219",2
137,"0,04","0,04",0,"0,01","0,02","1,77","1,79","0,03","0,08","7,822257363","343,4942197","1,56","549,827142","4,856444192",2
138,0,0,0,"0,01","0,01","1,4","7,12","0,06","0,01","8,31002902","303,4986719","0,42","484,0922845","4,582157298",2
139,0,0,"0,03","0,07","0,05","1,7","9,41","0,04","0,09","5,846786697","385,0591343","0,08","454,5202956","3,999775382",2
140,"0,65","0,65","0,57","0,39","0,04","1,74","17,73","0,04","0,02","6,001382441","291,6876535","0,05","452,0807654","5,058905448",2
141,0,0,"0,76","0,39","0,03","2,03","17,7","0,04","3,05","8,176079615","281,3861972","1,29","399,4773578","5,21830711",2
142,"0,68","0,68","0,06","0,03","0,06","1,36",5,"0,04","0,06","5,094164361","393,7986482","1,52","521,320673","4,1946",2
143,"0,46","0,46","0,03","0,09","0,01","1,42","7,28","0,07","0,01","6,466874709","415,4508101","0,84","530,0529193","4,477351412",2
144,0,0,"0,007995443806","0,04830109416","0,0002123375153","0,5","5,88","0,004856442518","0,07455516141","7,412570723","29,8692997","0,07","160,8790439","2,430209951",1
145,"0,3","0,3","0,02","0,08","0,09","2,12","16,31","0,03","0,06","6,164480227","359,4265371","0,7","340,7049784","5,070841577",2
146,"0,34","0,34","0,09","0,09","0,01","1,53","4,35","0,06","0,01","6,871607245","293,3098537","1,95","582,1106056","4,814779191",2
147,"1,1","1,1",,,,,,,,"7,09",,,"152,6","0,81",2
148,"0,8","0,8","1,01","0,27","0,11","1,8","12,41","0,07","2,04","6,252810211","352,8170527","0,2","368,8154286","4,833507857",2
149,"0,75","0,75","0,05","0,56","0,008","1,33","6,03","0,05","0,06","4,574124682","359,4265371","0,92","424,6501794","5,553173841",2
150,0,0,"0,55","0,21","0,1","1,41","15,45","0,03","2,97","6,539115261","333,9471072","1,97","399,8386617","1,680554025",2
151,0,0,"0,09","0,02","0,07","1,43","9,84","0,04","0,08","8,097453771","329,1439121","0,02","581,9811912","4,065148002",2
152,"0,13","0,13","0,03","0,76","0,007","1,84","2,06","0,07","0,09","8,091812332","299,0864179","0,84","392,1660879","4,181254134",2
153,"0,04","0,04","0,03","0,03","0,04","1,75","2,4","0,09","0,06","4,233558617","316,391974","1,15","349,8160843","4,271167637",2
154,0,0,"0,42","0,5",0,"1,85","7,78","0,08","0,14","5,899936567","378,2417817","0,18","264,5080825","4,931460168",2
155,0,0,"0,001373503651","0,03443461937","0,002143019943","1,9","4,27","0,005136918286","0,164812136","7,740911413","36,3226041","1,26","71,88671952","2,847131717",1
156,"0,58","0,58","0,1","0,02","0,01","1,8","1,76","0,03","0,06","6,676137319","299,5216733","0,04","442,3681431","3,826063248",2
157,"0,07","0,07","0,05","0,03","0,04","0,82","4,36","0,03","0,09","9,271355447","229,5755609","1,04","436,3356221","5,712792127",2
158,"0,19","0,19","0,03","0,04","0,02","1,68","13,26",0,"0,08","4,570854413","339,7675789","1,45","526,3252137","5,544167317",2
159,"0,02","0,02","0,39","0,65","0,01","1,21","1,18","0,08","0,31","7,880685943","252,1089251","1,41","340,6306415","3,519884366",2
160,0,0,"0,05","0,03","0,07","0,54","6,71",0,"0,07","6,68774978","340,2533542","0,07","386,2983586","3,935513837",2
161,0,0,0,"0,03","0,04","0,18","5,17","0,06","0,06","8,860324242","314,3174811","0,07","289,7466744","3,745724886",2
162,"0,3","0,3","0,07","0,05","0,07","0,62","15,39","0,05",0,"6,395359132","272,4408483","1,46","388,0658567","3,885492316",2
163,0,0,"0,002341976058","0,04711157533","0,0008117572903","0,43","7,97","0,003151773164","0,06667217866","7,756395454","21,17090423","0,1","103,3143445","4,198984214",1
164,0,0,"0,004027587291","0,04134822751","0,002892643683","0,02","18,67","0,009151820968","0,144389714","8,489040397","10,95715472","0,72","295,7075375","1,539988917",1
165,0,0,"0,005660103117","0,02007551938","0,0004030899526","0,72","12,84","0,004766096918","0,1635815257","6,827844179","11,34804112","0,1","67,04022912","4,481928781",1
166,"0,6","0,6","0,09","0,08","0,04","1,18","0,94","0,06","0,09","5,924540482","319,8869566","0,09","516,3545597","2,571391506",2
167,"0,67","0,67","0,05","0,05","0,09","1,49","1,5","0,01","0,03","4,886057057","332,8237989","0,09","464,0748499","3,550311143",2
168,0,0,"0,1","0,07","0,08","0,62","11,67","0,05",0,"6,941719438","339,0238982","1,34","395,1149612","4,135568909",2
169,"0,68","0,68","0,05","0,06","0,04","1,2","16,33","0,04","0,01","9,814247469","378,3982185","0,75","484,8433398","2,404729206",2
170,"0,1","0,1",0,"0,07","0,06","0,33","19,55","0,05","0,08","6,630251709","365,9617111","1,05","501,4468337","4,878944116",2
171,"0,58","0,58","0,01","0,84","0,006","1,03","1,6","0,05","0,09","7,337924402","337,5395326","0,71","364,2735781","2,728617352",2
172,"0,68","0,68","0,05","0,08","0,06","1,16","12,38","0,03","0,06","6,758851697","324,3828431","0,03","333,0507859","2,804923583",2
173,0,0,"0,08",0,"0,02","0,58","18,22","0,05","0,08","7,748654706","378,1083058","0,35","332,5981262","2,722908161",2
174,0,0,"0,05",0,"0,02","0,78","2,27","0,07","0,08","6,783888468","352,1592258","0,06","427,8969073","4,938389194",2
175,"0,28","0,28","0,06","0,06",0,"1,18","3,21","0,05","0,09","7,399811394","338,293868","0,06","279,4470657","4,216315016",2
176,0,0,"0,00267686378","0,02569952966","0,0001012755974","1,67","5,15","0,006531501574","0,1431735444","7,771401684","9,33142057","1,67","142,5060279","4,987163978",1
177,"0,55","0,55","0,001","0,15","0,001","1,41","16,37","0,04","0,06","6,658741558","375,4573453","0,54","403,2150907","3,584985024",2
178,0,0,"0,97","0,52","0,12","2,14","8,66","0,03","2,25","6,609680322","296,0021941","0,61","404,1201524","4,904613044",2
179,0,0,"0,009884235626","0,03956828401","0,001919677915","0,48","1,45","0,005950718321","0,01678350789","8,18115182","33,76822877","0,01","140,1243164","1,337610095",1
180,0,0,"0,05","0,07","0,08","1,58","19,27","0,04","0,07","8,129585514","349,9489414","1,2","437,3485849","3,311808138",2
181,"0,84","0,84","0,04","0,09","0,02","1,13","8,5","0,09","0,02","8,764495619","342,4535457","1,34","332,6127519","4,37077656",2
182,0,0,"0,02","0,08","0,04","0,33","13,57","0,02","0,05","8,140344463","359,2257041","0,08","444,4534957","4,197919055",2
183,"0,04","0,04","0,03","0,01","0,05",2,"2,8","0,09","0,09","9,393891652","347,0410203","1,15","428,4448225","3,619590635",2
184,"0,94","0,94","0,09",0,"0,01","1,76","6,91","0,04","0,03","6,352973105","283,5838343","0,12","300,411744","6,389161009",2
185,0,0,"0,63","0,46","0,1","1,76","1,59","0,09","3,51","5,991371082","300,4059237","1,83","344,967064","4,435760073",2
186,"0,3","0,3","0,04","0,69","0,003","1,61","1,73","0,04","0,71","7,628552723","365,8123125","0,32","475,2964708","2,842470708",2
187,"0,27","0,27","0,08","0,87","0,08","1,82","14,32","0,04","1,87","6,728975148","361,9704241","1,76","472,0960897","3,568823153",2
188,0,0,"0,008762208241","0,02109525967","0,002947050392","1,79","13,07","0,008923439315","0,1231781515","6,572424099","33,55232346","0,02","201,9405763","2,705321856",1
189,"0,37","0,37","0,02","0,09","0,001","1,04","17,6","0,06","0,1","6,103731305","288,1578825","0,99","566,7547238","3,859800939",2
190,0,0,"0,08","0,06","0,06","0,28","2,99","0,1","0,01","7,053116739","337,4063418","0,73","471,5185364","5,554074526",2
191,"0,28","0,28","0,01","0,39","0,001","1,78","3,77","0,07","3,44","6,737004072","323,4243624","0,76","443,4455903","3,636364183",2
192,"0,08","0,08","0,08","0,04","0,03","0,79","9,94","0,03",0,"5,53953369","288,3568559","0,46","418,3301951","2,010537157",2
193,"0,2","0,2","0,03","0,07","0,06","1,11","7,08","0,04","0,09","5,985012451","326,2906302","0,59","541,2207702","2,954092652",2
194,"0,61","0,61","0,01","0,02","0,02","1,46","18,6","0,06","0,05","7,348937142","308,3806121","1,5","456,2597911","3,042796944",2
195,"0,75","0,75","0,01","0,67","0,009","1,28","3,76","0,02","4,38","4,595607756","293,1607997","1,26","596,4032157","3,568991708",2
196,"0,45","0,45","0,27","0,04","0,04","2,08","16,98","0,01","0,01","6,238053654","437,6471625","0,65","519,0316251","4,078277145",2
